FID,BDNAME,BDNUM,TEXT_NBR,Shape_STAr,Shape_STLe,NCR_LINK,IMAGE
77,Elliot Park,33,33,10562866.1848,13437.3053561,http://www.nrp.org/r2/Neighborhoods/Orgs/ELP.html,ELP
78,Nicollet Island - East Bank,34,34,6986586.2856,12977.388349,http://www.nrp.org/r2/Neighborhoods/Orgs/NIC.html,NIC
79,Marcy Holmes,35,35,23324226.5861,22993.0008142,http://www.nrp.org/r2/Neighborhoods/Orgs/MHM.html,MHM
80,Folwell,6,06,15531040.4654,15767.8004393,http://www.nrp.org/r2/Neighborhoods/Orgs/FOL.html,FOL
81,McKinley,7,07,17075995.7123,16628.2089138,http://www.nrp.org/r2/Neighborhoods/Orgs/MKN.html,MKN
82,Camden Industrial,9,09,8280549.2715,16583.2452675, ,
83,Columbia Park,11,11,41778138.8525,31707.3531356,http://www.nrp.org/r2/Neighborhoods/Orgs/COL.html,COL
84,Waite Park,12,12,24634761.7239,21314.3431002,http://www.nrp.org/r2/Neighborhoods/Orgs/WAI.html,WAI
85,Marshall Terrace,13,13,19610745.8104,19604.5512894,http://www.nrp.org/r2/Neighborhoods/Orgs/MRT.html,MRT
86,Whittier,51,51,22585340.0679,19013.7184171,http://www.nrp.org/r2/Neighborhoods/Orgs/WHT.html,WHT
87,Lyndale,53,53,13488345.4867,14709.5574538,http://www.nrp.org/r2/Neighborhoods/Orgs/LND.html,LND
